sourcetype,domain,description,key_fields,sample_spl
sap:abap:audit,sap_application,SAP ABAP security audit log entries,sap_sid sap_inst user action_type action_status,"`sap_logserv_idx_macro` sourcetype=sap:abap:audit | stats count by user action_type"
sap:abap:dispatcher,sap_application,SAP ABAP dispatcher events (work process scheduling),sap_sid sap_inst severity wp_no msg,"`sap_logserv_idx_macro` sourcetype=sap:abap:dispatcher severity=ERROR | stats count by sap_sid"
sap:abap:enqueueserver,sap_application,SAP ABAP enqueue server events (lock management),sap_sid sap_inst severity msg,"`sap_logserv_idx_macro` sourcetype=sap:abap:enqueueserver severity=ERROR"
sap:abap:event,sap_application,SAP ABAP event log,sap_sid sap_inst severity event_id msg,"`sap_logserv_idx_macro` sourcetype=sap:abap:event"
sap:abap:gateway,sap_application,SAP ABAP gateway events (RFC connectivity),sap_sid sap_inst severity src_ip msg,"`sap_logserv_idx_macro` sourcetype=sap:abap:gateway severity IN (ERROR,CRITICAL)"
sap:abap:icm,sap_application,SAP ABAP ICM HTTP/HTTPS access log,sap_sid sap_inst host status method uri response_time_ms,"`sap_logserv_idx_macro` sourcetype=sap:abap:icm status>=400 | stats count by status host"
sap:abap:messageserver,sap_application,SAP ABAP message server events,sap_sid sap_inst severity msg,"`sap_logserv_idx_macro` sourcetype=sap:abap:messageserver"
sap:abap:sapstartsrv,sap_application,SAP ABAP startsrv (service control) events,sap_sid sap_inst severity action user,"`sap_logserv_idx_macro` sourcetype=sap:abap:sapstartsrv action=start"
sap:abap:workprocess,sap_application,SAP ABAP work process events,sap_sid sap_inst severity wp_no wp_category_name msg,"`sap_logserv_idx_macro` sourcetype=sap:abap:workprocess severity IN (ERROR,CRITICAL) | stats count by sap_sid wp_category_name"
sap:hana:audit,sap_application,SAP HANA database audit log,user action_type action_status action_category grantor grantee privilege,"`sap_logserv_idx_macro` sourcetype=sap:hana:audit action_status=FAILED | stats count by user"
sap:hana:tracelogs,sap_application,SAP HANA service trace logs,component severity sap_sid host msg,"`sap_logserv_idx_macro` sourcetype=sap:hana:tracelogs severity IN (ERROR,FATAL) | stats count by component"
sap:scc:audit,sap_application,SAP Cloud Connector audit log,user action subaccount tenant,"`sap_logserv_idx_macro` sourcetype=sap:scc:audit action=login_failed"
sap:scc:http_access,sap_application,SAP Cloud Connector HTTP access log,subaccount client_ip method uri status response_time_ms,"`sap_logserv_idx_macro` sourcetype=sap:scc:http_access status>=400 | stats count by status"
sap:webdispatcher:access,sap_application,SAP Web Dispatcher access log,clientip method uri status response_time_ms tls_version,"`sap_logserv_idx_macro` sourcetype=sap:webdispatcher:access | stats perc95(response_time_ms) by uri"
sap:sapstartsrv,sap_services,SAP host startsrv events (service control + auth + SSL/TLS),user action auth_status ssl_peer_ip ssl_error_code,"`sap_logserv_idx_macro` sourcetype=sap:sapstartsrv auth_status=fail"
sap:saphostexec,sap_services,SAP host executor events,host action user msg,"`sap_logserv_idx_macro` sourcetype=sap:saphostexec"
sap:saprouter,sap_services,SAP Router connection log (routing + errors),peer action error,"`sap_logserv_idx_macro` sourcetype=sap:saprouter (action=DISCONNECT OR error=*)"
linux_messages_syslog,infrastructure,Linux syslog (messages + localmessages),host process pid msg sap_sid sap_cid sap_inst sap_app,"`sap_logserv_idx_macro` sourcetype=linux_messages_syslog | stats count by sap_app"
linux:cron,infrastructure,Linux cron daemon log,host process pid os_user msg,"`sap_logserv_idx_macro` sourcetype=linux:cron | stats count by os_user"
linux:warn,infrastructure,Linux /var/log/warn (warnings/notices),host process pid msg,"`sap_logserv_idx_macro` sourcetype=linux:warn | stats count by host"
linux:sudolog,infrastructure,Linux sudo command log,host os_user pwd cmd,"`sap_logserv_idx_macro` sourcetype=linux:sudolog | stats count by os_user"
linux:slapd,infrastructure,OpenLDAP slapd + Pacemaker HA cluster log,host process pid msg,"`sap_logserv_idx_macro` sourcetype=linux:slapd"
syslog,infrastructure,DEPRECATED — historical content from cron/warn/sudolog/slapd before Path B migration (build 145),host process pid os_user msg,"`sap_logserv_idx_macro` sourcetype=syslog process=CROND"
linux_secure,infrastructure,Linux auth/security log (sudo SSH firewall iptables),host process user src_ip action,"`sap_logserv_idx_macro` sourcetype=linux_secure (FW_DROP OR DROP)"
squid:access,infrastructure,Squid proxy access log,clientip url action http_method status bytes domain,"`sap_logserv_idx_macro` sourcetype=squid:access action=DENIED | stats count by clientip"
isc:bind:query,infrastructure,BIND DNS query log,query query_type record_type src_ip dest_ip transport,"`sap_logserv_idx_macro` sourcetype=isc:bind:query | stats count by query_type"
isc:bind:network,infrastructure,BIND DNS network events,src_ip dest_ip transport,"`sap_logserv_idx_macro` sourcetype=isc:bind:network"
isc:bind:transfer,infrastructure,BIND DNS zone transfer events,zone src_ip,"`sap_logserv_idx_macro` sourcetype=isc:bind:transfer"
isc:bind:lameserver,infrastructure,BIND DNS lame server events,domain src_ip,"`sap_logserv_idx_macro` sourcetype=isc:bind:lameserver"
XmlWinEventLog:Application,infrastructure,Windows Application event log,host EventCode SourceName Type Message,"`sap_logserv_idx_macro` sourcetype=XmlWinEventLog:Application Type=Error"
XmlWinEventLog:Security,infrastructure,Windows Security event log (auth account changes),host EventCode user TargetUserName subject_user_name,"`sap_logserv_idx_macro` sourcetype=XmlWinEventLog:Security EventCode=4625"
XmlWinEventLog:System,infrastructure,Windows System event log,host EventCode SourceName Type Message,"`sap_logserv_idx_macro` sourcetype=XmlWinEventLog:System Type IN (Error,Critical)"
XmlWinEventLog:Powershell,infrastructure,Windows PowerShell operational event log,host EventCode user CommandLine,"`sap_logserv_idx_macro` sourcetype=XmlWinEventLog:Powershell EventCode=4104"
